HEAT_ID,Material_Code,NAME,WEIGHT
1701190,112,# 2 HEAVY MELT,158758
1701192,113,PIG IRON,50306.6
1701192,115,HOME SCRAP,2215.8
1701192,114,PIT SCRAP,3473.6
1701194,117,REGULAR SHRED,34129.7
1701194,119,RAIL CROPS,4545.9
1701194,113,PIG IRON,49903.8
1701194,115,HOME SCRAP,2322.8
1701194,121,PLATE & STRUCTURAL,13200.9
1701194,114,PIT SCRAP,3426
1701194,126,#1 BUSHELING,42110.7
1701194,124,#1 BUNDLES,9100
1701194,120,RAILROAD WHEELS,2180
1701196,117,REGULAR SHRED,35378.9
1701196,119,RAIL CROPS,4533.7
1701196,113,PIG IRON,49893.9
1701196,115,HOME SCRAP,1812.6
1701196,121,PLATE & STRUCTURAL,12698.8
1701196,114,PIT SCRAP,3173.8
1701196,126,#1 BUSHELING,18141.9
1701196,124,#1 BUNDLES,8617.8
1701196,116,CONSTRUCTION SCRAP,3173.8
1701196,120,RAILROAD WHEELS,1812.6
1701198,117,REGULAR SHRED,15114.6
1701198,119,RAIL CROPS,2066.6
1701198,113,PIG IRON,22624.8
1701198,115,HOME SCRAP,1046
1701198,121,PLATE & STRUCTURAL,5259
1701198,114,PIT SCRAP,1544.9
1701198,120,RAILROAD WHEELS,1106.8
1701198,124,#1 BUNDLES,2036.6
1701200,117,REGULAR SHRED,14864.7
1701200,119,RAIL CROPS,2040.7
1701200,113,PIG IRON,22702.8
1701200,115,HOME SCRAP,1017
1701200,121,PLATE & STRUCTURAL,5435.9
1701200,114,PIT SCRAP,1564.9
1701200,124,#1 BUNDLES,2022.6
1701200,120,RAILROAD WHEELS,971.6
1701202,124,#1 BUNDLES,2036.6
1701202,120,RAILROAD WHEELS,2030.7
1701202,114,PIT SCRAP,1525
1701202,115,HOME SCRAP,1012.9
1701202,121,PLATE & STRUCTURAL,5374.6
1701202,113,PIG IRON,22592.6
1701202,117,REGULAR SHRED,15453.9
1701202,119,RAIL CROPS,2053
1701204,117,REGULAR SHRED,15222.6
1701204,119,RAIL CROPS,2012.6
1701204,113,PIG IRON,22660.6
1701204,115,HOME SCRAP,1012.9
1701204,121,PLATE & STRUCTURAL,5304.8
1701204,114,PIT SCRAP,1544.9
1701204,120,RAILROAD WHEELS,1090
1701204,124,#1 BUNDLES,2122.8
1701208,113,PIG IRON,158758
1701210,117,REGULAR SHRED,158758
1701212,113,PIG IRON,158758
1701214,113,PIG IRON,158758
1701218,113,PIG IRON,158758
1701220,113,PIG IRON,158758
1701222,117,REGULAR SHRED,158758
1701224,113,PIG IRON,158758
1701226,117,REGULAR SHRED,158758
1701228,113,PIG IRON,158758
1701230,117,REGULAR SHRED,11539.9
1701230,119,RAIL CROPS,2004.9
1701230,113,PIG IRON,22533.6
1701230,115,HOME SCRAP,997.9
1701230,121,PLATE & STRUCTURAL,5383.7
1701230,114,PIT SCRAP,1522.7
1701230,120,RAILROAD WHEELS,1029.7
1701230,124,#1 BUNDLES,2075.6
1701232,113,PIG IRON,49893.9
1701232,115,HOME SCRAP,1812.6
1701232,121,PLATE & STRUCTURAL,12698.8
1701232,117,REGULAR SHRED,35378.9
1701232,119,RAIL CROPS,4533.7
1701232,114,PIT SCRAP,3173.8
1701232,116,CONSTRUCTION SCRAP,3173.8
1701232,120,RAILROAD WHEELS,1812.6
1701232,124,#1 BUNDLES,8617.8
1701232,126,#1 BUSHELING,18141.9
1701234,117,REGULAR SHRED,35378.9
1701234,119,RAIL CROPS,4533.7
1701234,113,PIG IRON,49893.9
1701234,115,HOME SCRAP,1812.6
1701234,121,PLATE & STRUCTURAL,12698.8
1701234,114,PIT SCRAP,3173.8
1701234,126,#1 BUSHELING,18141.9
1701234,124,#1 BUNDLES,8617.8
1701234,116,CONSTRUCTION SCRAP,3173.8
1701234,120,RAILROAD WHEELS,1812.6
1701236,120,RAILROAD WHEELS,1056.9
1701236,124,#1 BUNDLES,2029.8
1701236,114,PIT SCRAP,1533.6
1701236,115,HOME SCRAP,1024.7
1701236,121,PLATE & STRUCTURAL,5528.8
1701236,113,PIG IRON,22668.8
1701236,117,REGULAR SHRED,15512.9
